10020	Dipodomys ordii	Mammalia
10029	Cricetulus griseus	Mammalia
10034	Cricetus cricetus	Mammalia
10036	Mesocricetus auratus	Mammalia
10041	Peromyscus leucopus	Mammalia
3774379	Cricetiscus sungorus	Mammalia
10047	Meriones unguiculatus	Mammalia
10058	Microtus pennsylvanicus	Mammalia
10068	Acomys cahirinus	Mammalia
10089	Mus caroli	Mammalia
100897	Alexandromys fortis	Mammalia
10090	Mus musculus	Mammalia
10091	Mus musculus castaneus	Mammalia
10092	Mus musculus domesticus	Mammalia
10093	Mus pahari	Mammalia
10096	Mus spretus	Mammalia
10105	Mus minutoides	Mammalia
10116	Rattus norvegicus	Mammalia
10117	Rattus rattus	Mammalia
10129	Apodemus sylvaticus	Mammalia
10141	Cavia porcellus	Mammalia
10149	Hydrochoerus hydrochaeris	Mammalia
10160	Octodon degus	Mammalia
10166	Ctenodactylus gundi	Mammalia
10181	Heterocephalus glaber	Mammalia
1026970	Nannospalax galili	Mammalia
103600	Sousa chinensis	Mammalia
1047088	Arvicola amphibius	Mammalia
105255	Dipodomys spectabilis	Mammalia
105296	Apodemus speciosus	Mammalia
109475	Suncus etruscus	Mammalia
109478	Myotis brandtii	Mammalia
109480	Myotis emarginatus	Mammalia
109481	Myotis nattereri	Mammalia
109678	Phodopus roborovskii	Mammalia
110931	Cynocephalus volans	Mammalia
111838	Microtus oregoni	Mammalia
118797	Lipotes vexillifer	Mammalia
1230840	Orycteropus afer afer	Mammalia
124745	Corynorhinus townsendii	Mammalia
127582	Trichechus manatus latirostris	Mammalia
130825	Ochotona curzoniae	Mammalia
13151	Micromys minutus	Mammalia
132908	Pteropus vampyrus	Mammalia
13616	Monodelphis domestica	Mammalia
143281	Canis lupus baileyi	Mammalia
143287	Cavia tschudii	Mammalia
143291	Pteropus medius	Mammalia
143292	Manis pentadactyla	Mammalia
143302	Condylura cristata	Mammalia
146134	Eospalax fontanierii	Mammalia
1496133	Pteropus pselaphon	Mammalia
1552295	Molossus alvarezi	Mammalia
1559511	Smutsia gigantea	Mammalia
1574408	Cervus canadensis	Mammalia
159337	Myotis yumanensis	Mammalia
1608482	Herpailurus yagouaroundi	Mammalia
1706337	Neophocaena asiaeorientalis asiaeorientalis	Mammalia
173903	Rhinopoma microphyllum	Mammalia
175524	Hipposideros larvatus	Mammalia
185453	Chrysochloris asiatica	Mammalia
1868482	Carlito syrichta	Mammalia
186990	Hipposideros armiger	Mammalia
187003	Taphozous melanopogon	Mammalia
1884717	Pteronotus mesoamericanus	Mammalia
188568	Aselliscus stoliczkanus	Mammalia
191816	Lynx pardinus	Mammalia
191870	Gracilinanus agilis	Mammalia
192404	Sturnira hondurensis	Mammalia
202257	Galemys pyrenaicus	Mammalia
202457	Plecturocebus cupreus	Mammalia
214514	Perognathus longimembris pacificus	Mammalia
225400	Myotis davidii	Mammalia
230172	Ovis ammon polii	Mammalia
230844	Peromyscus maniculatus bairdii	Mammalia
246437	Tupaia belangeri chinensis	Mammalia
246814	Pipistrellus pygmaeus	Mammalia
248799	Lophiomys imhausi	Mammalia
249017	Rhynchonycteris naso	Mammalia
249018	Saccopteryx leptura	Mammalia
249021	Doryrhina cyclops	Mammalia
257877	Macaca thibetana thibetana	Mammalia
258863	Mops condylurus	Mammalia
269649	Chionomys nivalis	Mammalia
2715852	Cebus imitator	Mammalia
273913	Vicugna pacos huacaya	Mammalia
273917	Vicugna vicugna mensalis	Mammalia
2746895	Balaenoptera ricei	Mammalia
27606	Eubalaena glacialis	Mammalia
27610	Lagenorhynchus albirostris	Mammalia
27615	Kogia breviceps	Mammalia
27622	Molossus molossus	Mammalia
27634	Artibeus lituratus	Mammalia
27675	Choloepus didactylus	Mammalia
27679	Saimiri boliviensis	Mammalia
286419	Canis lupus dingo	Mammalia
28737	Elephantulus edwardii	Mammalia
2888765	Gulo gulo luscus	Mammalia
29064	Panthera uncia	Mammalia
29065	Martes martes	Mammalia
29073	Ursus maritimus	Mammalia
29078	Eptesicus fuscus	Mammalia
29088	Neomonachus schauinslandi	Mammalia
291302	Miniopterus natalensis	Mammalia
29137	Dugong dugon	Mammalia
29139	Vombatus ursinus	Mammalia
2918886	Ovis ammon polii x Ovis aries	Mammalia
2952509	Rhinolophus yonghoiseni	Mammalia
2994998	Glossophaga mutica	Mammalia
2997257	Molossus nigricans	Mammalia
3040969	Petaurus breviceps papuanus	Mammalia
30522	Bos indicus x Bos taurus	Mammalia
30532	Dama dama	Mammalia
30538	Vicugna pacos	Mammalia
30589	Alouatta palliata	Mammalia
30608	Microcebus murinus	Mammalia
30611	Otolemur garnettii	Mammalia
30640	Sciurus carolinensis	Mammalia
3082113	Rangifer tarandus platyrhynchus	Mammalia
310352	Pygathrix nigripes	Mammalia
310713	Ceratotherium simum cottoni	Mammalia
3119969	Bubalus kerabau	Mammalia
3135897	Panthera pardus nimr	Mammalia
31869	Daubentonia madagascariensis	Mammalia
320637	Rhynchocyon petersi	Mammalia
32536	Acinonyx jubatus	Mammalia
33562	Dromiciops gliroides	Mammalia
336983	Colobus angolensis palliatus	Mammalia
3371016	Cnephaeus nilssonii	Mammalia
3371109	Leucopleurus acutus	Mammalia
3371112	Lyroderma lyra	Mammalia
3371155	Sagmatias obliquidens	Mammalia
34839	Chinchilla lanigera	Mammalia
34844	Erethizon dorsatum	Mammalia
34865	Capricornis sumatraensis	Mammalia
34869	Rupicapra rupicapra	Mammalia
34880	Nyctereutes procyonoides	Mammalia
34884	Callorhinus ursinus	Mammalia
34886	Eumetopias jubatus	Mammalia
35658	Mastomys coucha	Mammalia
36239	Mustela nivalis	Mammalia
36722	Martes zibellina	Mammalia
36723	Mustela erminea	Mammalia
369710	Peromyscus polionotus subgriseus	Mammalia
37029	Prionailurus bengalensis	Mammalia
37030	Prionailurus iriomotensis	Mammalia
37032	Suricata suricatta	Mammalia
37174	Ovis canadensis	Mammalia
37176	Ovibos moschatus	Mammalia
37181	Budorcas taxicolor	Mammalia
372063	Peromyscus maniculatus sonoriensis	Mammalia
37293	Aotus nancymaae	Mammalia
37548	Cavia aperea	Mammalia
379532	Propithecus coquereli	Mammalia
38626	Phascolarctos cinereus	Mammalia
38668	Onychomys leucogaster	Mammalia
38674	Onychomys torridus	Mammalia
38679	Onychomys arenicola	Mammalia
38775	Antechinus flavipes	Mammalia
39030	Apodemus agrarius	Mammalia
39082	Muscardinus avellanarius	Mammalia
391180	Enhydra lutris kenyoni	Mammalia
39432	Saimiri boliviensis boliviensis	Mammalia
39442	Mus musculus musculus	Mammalia
40151	Monodon monoceros	Mammalia
412090	Pipistrellus hanaki	Mammalia
41426	Phacochoerus africanus	Mammalia
419612	Camelus ferus	Mammalia
42100	Phocoena sinus	Mammalia
42254	Sorex araneus	Mammalia
42410	Peromyscus eremicus	Mammalia
42415	Sigmodon hispidus	Mammalia
430492	Rhinolophus trifoliatus	Mammalia
43179	Ictidomys tridecemlineatus	Mammalia
43346	Bison bison bison	Mammalia
43780	Nasalis larvatus	Mammalia
439328	Giraffa tippelskirchi	Mammalia
447135	Myodes glareolus	Mammalia
452646	Neogale vison	Mammalia
46360	Cervus elaphus hippelaphus	Mammalia
46844	Leopardus geoffroyi	Mammalia
